UNITID,CONTROL,INSTNM,ADMIN_TYPE,CIPCODE,CIPDESC,CREDLEV,POSTGRAD,EARN_MDN_HI_1YR,SALARY_GT_40
227146,Public,Navarro College,1,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",2,0,55884,1
227146,Public,Navarro College,1,5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,0,42682,1
227146,Public,Navarro College,1,5202,"Business Administration, Management and Operations.",2,0,24421,0
227146,Public,Navarro College,1,5203,Accounting and Related Services.,2,0,22087,0
227182,Public,Lone Star College System,1,183,Veterinary/Animal Health Technologies/Technicians.,2,0,32174,0
227182,Public,Lone Star College System,1,1101,"Computer and Information Sciences, General.",2,0,38829,0
227182,Public,Lone Star College System,1,1204,Cosmetology and Related Personal Grooming Services.,1,0,19319,0
227182,Public,Lone Star College System,1,1305,Educational/Instructional Media Design.,2,0,22766,0
227182,Public,Lone Star College System,1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",2,0,19683,0
227182,Public,Lone Star College System,1,1506,Industrial Production Technologies/Technicians.,1,0,46254,1
227182,Public,Lone Star College System,1,1506,Industrial Production Technologies/Technicians.,2,0,44077,1
227182,Public,Lone Star College System,1,2203,Legal Support Services.,1,0,33993,0
227182,Public,Lone Star College System,1,2203,Legal Support Services.,2,0,29322,0
227182,Public,Lone Star College System,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",2,0,27122,0
227182,Public,Lone Star College System,1,3016,Accounting and Computer Science.,1,0,39927,0
227182,Public,Lone Star College System,1,4301,Criminal Justice and Corrections.,2,0,33910,0
227182,Public,Lone Star College System,1,4302,Fire Protection.,1,0,52107,1
227182,Public,Lone Star College System,1,4302,Fire Protection.,2,0,71015,1
227182,Public,Lone Star College System,1,4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",1,0,35060,0
227182,Public,Lone Star College System,1,4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",2,0,47260,1
227182,Public,Lone Star College System,1,4706,Vehicle Maintenance and Repair Technologies.,1,0,29685,0
227182,Public,Lone Star College System,1,4706,Vehicle Maintenance and Repair Technologies.,2,0,31670,0
227182,Public,Lone Star College System,1,4805,Precision Metal Working.,1,0,34704,0
227182,Public,Lone Star College System,1,4805,Precision Metal Working.,2,0,40492,1
227182,Public,Lone Star College System,1,5106,Dental Support Services and Allied Professions.,2,0,62409,1
227182,Public,Lone Star College System,1,5108,Allied Health and Medical Assisting Services.,1,0,31133,0
227182,Public,Lone Star College System,1,5108,Allied Health and Medical Assisting Services.,2,0,48302,1
227182,Public,Lone Star College System,1,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",1,0,61144,1
227182,Public,Lone Star College System,1,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",2,0,51124,1
227182,Public,Lone Star College System,1,5115,Mental and Social Health Services and Allied Professions.,2,0,24421,0
227182,Public,Lone Star College System,1,5135,Somatic Bodywork and Related Therapeutic Services.,1,0,25194,0
227182,Public,Lone Star College System,1,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",2,0,65557,1
227182,Public,Lone Star College System,1,5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,0,38597,0
227182,Public,Lone Star College System,1,5201,"Business/Commerce, General.",2,0,30988,0
227182,Public,Lone Star College System,1,5202,"Business Administration, Management and Operations.",1,0,22806,0
227182,Public,Lone Star College System,1,5202,"Business Administration, Management and Operations.",2,0,34298,0
227182,Public,Lone Star College System,1,5203,Accounting and Related Services.,2,0,28055,0
227191,Public,North Lake College,1,1109,Computer Systems Networking and Telecommunications.,1,0,41205,1
227191,Public,North Lake College,1,1109,Computer Systems Networking and Telecommunications.,2,0,33281,0
227191,Public,North Lake College,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",2,0,28719,0
227191,Public,North Lake College,1,4603,Electrical and Power Transmission Installers.,1,0,79284,1
227191,Public,North Lake College,1,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",2,0,47260,1
227191,Public,North Lake College,1,5202,"Business Administration, Management and Operations.",1,0,42682,1
227191,Public,North Lake College,1,5202,"Business Administration, Management and Operations.",2,0,33993,0
227191,Public,North Lake College,1,5215,Real Estate.,1,0,42188,1
227216,Public,University of North Texas,1,405,Interior Architecture.,3,0,42905,1
227216,Public,University of North Texas,1,904,Journalism.,3,0,35274,0
227216,Public,University of North Texas,1,904,Journalism.,5,1,39369,0
227216,Public,University of North Texas,1,907,"Radio, Television, and Digital Communication.",3,0,28173,0
227216,Public,University of North Texas,1,1101,"Computer and Information Sciences, General.",3,0,66566,1
227216,Public,University of North Texas,1,1104,Information Science/Studies.,3,0,25194,0
227216,Public,University of North Texas,1,1104,Information Science/Studies.,5,1,48667,1
227216,Public,University of North Texas,1,1104,Information Science/Studies.,8,1,41349,1
227216,Public,University of North Texas,1,1301,"Education, General.",5,1,44021,1
227216,Public,University of North Texas,1,1304,Educational Administration and Supervision.,5,1,53651,1
227216,Public,University of North Texas,1,1304,Educational Administration and Supervision.,6,1,77966,1
227216,Public,University of North Texas,1,1305,Educational/Instructional Media Design.,5,1,54109,1
227216,Public,University of North Texas,1,1310,Special Education and Teaching.,5,1,54296,1
227216,Public,University of North Texas,1,1310,Special Education and Teaching.,8,1,53775,1
227216,Public,University of North Texas,1,1311,Student Counseling and Personnel Services.,5,1,39585,0
227216,Public,University of North Texas,1,1311,Student Counseling and Personnel Services.,6,1,56641,1
227216,Public,University of North Texas,1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",8,1,47260,1
227216,Public,University of North Texas,1,1313,"Teacher Education and Professional Development, Specific Subject Areas.",6,1,79450,1
227216,Public,University of North Texas,1,1409,Computer Engineering.,3,0,74576,1
227216,Public,University of North Texas,1,1410,"Electrical, Electronics and Communications Engineering.",3,0,68422,1
227216,Public,University of North Texas,1,1418,Materials Engineering,3,0,45808,1
227216,Public,University of North Texas,1,1419,Mechanical Engineering.,3,0,59124,1
227216,Public,University of North Texas,1,1419,Mechanical Engineering.,5,1,68499,1
227216,Public,University of North Texas,1,1500,"Engineering Technology, General.",5,1,76460,1
227216,Public,University of North Texas,1,1503,Electrical Engineering Technologies/Technicians.,3,0,76460,1
227216,Public,University of North Texas,1,1508,Mechanical Engineering Related Technologies/Technicians.,3,0,63005,1
227216,Public,University of North Texas,1,1510,Construction Engineering Technologies.,3,0,65320,1
227216,Public,University of North Texas,1,1601,"Linguistic, Comparative, and Related Language Studies and Services.",3,0,26896,0
227216,Public,University of North Texas,1,1609,"Romance Languages, Literatures, and Linguistics.",3,0,28816,0
227216,Public,University of North Texas,1,1907,"Human Development, Family Studies, and Related Services.",3,0,30475,0
227216,Public,University of North Texas,1,2301,"English Language and Literature, General.",3,0,31964,0
227216,Public,University of North Texas,1,2313,Rhetoric and Composition/Writing Studies.,3,0,36591,0
227216,Public,University of North Texas,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",3,0,35632,0
227216,Public,University of North Texas,1,2501,Library Science and Administration.,5,1,42949,1
227216,Public,University of North Texas,1,2501,Library Science and Administration.,8,1,44418,1
227216,Public,University of North Texas,1,2601,"Biology, General.",3,0,30186,0
227216,Public,University of North Texas,1,2602,"Biochemistry, Biophysics and Molecular Biology.",3,0,37568,0
227216,Public,University of North Texas,1,2613,"Ecology, Evolution, Systematics, and Population Biology.",3,0,29685,0
227216,Public,University of North Texas,1,2701,Mathematics.,3,0,47992,1
227216,Public,University of North Texas,1,3017,Behavioral Sciences.,8,1,59722,1
227216,Public,University of North Texas,1,3020,International/Global Studies.,3,0,31562,0
227216,Public,University of North Texas,1,3099,"Multi/Interdisciplinary Studies, Other.",3,0,46752,1
227216,Public,University of North Texas,1,3099,"Multi/Interdisciplinary Studies, Other.",5,1,31127,0
227216,Public,University of North Texas,1,3103,"Parks, Recreation and Leisure Facilities Management.",3,0,35060,0
227216,Public,University of North Texas,1,3103,"Parks, Recreation and Leisure Facilities Management.",5,1,42682,1
227216,Public,University of North Texas,1,3105,Health and Physical Education/Fitness.,3,0,33910,0
227216,Public,University of North Texas,1,3105,Health and Physical Education/Fitness.,5,1,35594,0
227216,Public,University of North Texas,1,3801,Philosophy.,3,0,31741,0
227216,Public,University of North Texas,1,4005,Chemistry.,3,0,38597,0
227216,Public,University of North Texas,1,4201,"Psychology, General.",3,0,30037,0
227216,Public,University of North Texas,1,4228,"Clinical, Counseling and Applied Psychology.",3,0,31495,0
227216,Public,University of North Texas,1,4228,"Clinical, Counseling and Applied Psychology.",5,1,50543,1
227216,Public,University of North Texas,1,4228,"Clinical, Counseling and Applied Psychology.",6,1,59576,1
227216,Public,University of North Texas,1,4301,Criminal Justice and Corrections.,3,0,35171,0
227216,Public,University of North Texas,1,4301,Criminal Justice and Corrections.,5,1,41937,1
227216,Public,University of North Texas,1,4303,Homeland Security.,3,0,42682,1
227216,Public,University of North Texas,1,4404,Public Administration.,5,1,47846,1
227216,Public,University of North Texas,1,4407,Social Work.,3,0,30616,0
227216,Public,University of North Texas,1,4501,"Social Sciences, General.",3,0,32284,0
227216,Public,University of North Texas,1,4502,Anthropology.,3,0,24421,0
227216,Public,University of North Texas,1,4502,Anthropology.,5,1,55286,1
227216,Public,University of North Texas,1,4506,Economics.,3,0,43798,1
227216,Public,University of North Texas,1,4507,Geography and Cartography.,3,0,43000,1
227216,Public,University of North Texas,1,4510,Political Science and Government.,3,0,32003,0
227216,Public,University of North Texas,1,4511,Sociology.,3,0,33565,0
227216,Public,University of North Texas,1,4901,Air Transportation.,3,0,52107,1
227216,Public,University of North Texas,1,5003,Dance.,3,0,22192,0
227216,Public,University of North Texas,1,5004,Design and Applied Arts.,3,0,37054,0
